user_id,uuid,age,gender,city,university,major,study_year,living_status,scholarship,part_time_income,other_income,total_income,monthly_budget,financial_goal,goal_amount,target_months,financial_personality
827,4a5a5f81-56e1-41d5-85cc-6263c3c0aae6,19,Female,Qassim,King Saud University,Information Systems,3,With Family,990,0,200,1190,947.24,Investment,10000,6,Disciplined
828,b5e101d2-8613-4f8d-9963-5e4d10a6cbf1,20,Female,Jeddah,Princess Nourah University,Software Engineering,5,Dorm,1000,1200,0,2200,1985.45,Emergency Fund,6000,12,Disciplined
829,bf19cd25-fab0-4091-b1e7-09153531e150,24,Male,Madinah,King Fahd University of Petroleum and Minerals,Accounting,5,Dorm,1000,500,400,1900,1539.82,Laptop,5000,12,Balanced
830,db2bb106-3299-4369-bdbd-8a24e31bfd00,24,Male,Makkah,Qassim University,Medicine,3,With Family,990,800,0,1790,1667.44,Travel,4000,6,Balanced
831,4011d9db-4061-4f1e-8725-e0639f0b1b67,19,Female,Makkah,King Khalid University,Computer Science,4,Shared Apartment,1500,800,700,3000,2518.25,Investment,10000,12,Shopaholic
832,1ce295c5-5571-459c-b2e7-f09b9b4a8844,19,Male,Makkah,Taibah University,Nursing,2,With Family,1000,0,200,1200,996.77,Laptop,5000,12,Shopaholic
833,e2b1c04c-25f3-4c23-9aea-83d6020808c8,22,Female,Madinah,King Fahd University of Petroleum and Minerals,Information Systems,1,With Family,1000,1200,0,2200,1898.74,Emergency Fund,6000,12,Impulsive
834,c0f1de99-c985-44e6-8fff-a058614a2e92,25,Female,Makkah,King Fahd University of Petroleum and Minerals,Finance,4,With Family,990,0,0,990,912.51,Emergency Fund,6000,3,Overspender
835,b37bc2fe-2488-4d41-b8ad-753291488b20,20,Male,Dammam,Imam Mohammad Ibn Saud Islamic University,Finance,1,With Family,990,0,0,990,826.49,Laptop,5000,6,Tech Enthusiast
836,48eb1b22-8d37-4de8-bad2-b3245d32c6ce,24,Male,Madinah,Princess Nourah University,Accounting,3,Dorm,1000,0,400,1400,1296.46,Emergency Fund,6000,9,Shopaholic
837,4ad2dee6-ff58-4fcd-96c4-0a0a7cd10b6a,22,Male,Abha,Umm Al-Qura University,Nursing,3,With Family,1000,0,0,1000,792.12,Phone,4500,9,Overspender
838,cf852b3a-1abe-4331-8968-cb5127efb72d,25,Male,Abha,Qassim University,Information Systems,2,With Family,1000,1200,0,2200,2087.06,Car,25000,3,Balanced
839,6802bfb7-e573-4e37-bc36-bdbdfd8c2836,19,Male,Qassim,King Khalid University,Information Systems,1,With Family,990,800,0,1790,1542.68,Travel,4000,6,Balanced
840,e71b0505-7f82-4e60-a885-bde48db1acf6,24,Female,Abha,King Khalid University,Electrical Engineering,4,Alone,0,0,0,0,0.0,Investment,10000,6,Disciplined
841,f660d743-9254-4aaa-878a-b4e94bccda92,19,Male,Tabuk,King Fahd University of Petroleum and Minerals,Nursing,5,Dorm,990,800,0,1790,1688.56,Travel,4000,12,Balanced
842,2fe1fb3c-d01e-4a0b-b68c-d8366f6230d2,20,Male,Dammam,Taibah University,Computer Science,3,With Family,0,0,0,0,0.0,Investment,10000,6,Shopaholic
843,e3f2d45f-d975-4980-9fc4-7e6f6caf1424,19,Male,Tabuk,Qassim University,Electrical Engineering,4,Dorm,990,800,0,1790,1469.59,Car,25000,9,Shopaholic
844,649d9e70-a7d0-4eca-a927-1e851ac464fa,22,Male,Tabuk,Umm Al-Qura University,Finance,4,Dorm,1500,1200,700,3400,2720.37,Gaming PC,8000,3,Shopaholic
845,6a6a2a52-a165-4620-9912-8ab802d2e61b,25,Female,Tabuk,Imam Mohammad Ibn Saud Islamic University,Nursing,5,Shared Apartment,990,0,0,990,924.78,Travel,4000,6,Balanced
846,a1b602b9-cf31-4e23-a202-92b86e17d30b,23,Male,Riyadh,King Khalid University,Artificial Intelligence,3,With Family,990,800,0,1790,1474.55,Emergency Fund,6000,9,Shopaholic
847,dc427936-33fd-4032-8f57-c3982ef71b3c,25,Female,Riyadh,Prince Sattam bin Abdulaziz University,Artificial Intelligence,1,Alone,0,0,0,0,0.0,Gaming PC,8000,12,Improving
848,157f5fce-a13e-4545-84b9-94c5df26310d,19,Male,Abha,King Saud University,Nursing,2,Dorm,1000,500,0,1500,1178.07,Investment,10000,6,Disciplined
849,1ba039a6-1921-4388-b15d-77c1fbf45b44,18,Female,Jeddah,Umm Al-Qura University,Artificial Intelligence,2,Dorm,1000,0,0,1000,897.49,Gaming PC,8000,9,Budget Student
850,f3980509-a02b-48bc-9ab4-f4d85e122bfd,23,Male,Tabuk,Qassim University,Law,1,With Family,1000,0,200,1200,1098.01,Car,25000,6,Social Spender
851,4b889593-22ef-42b0-8d55-5df91351434f,24,Male,Riyadh,Prince Sattam bin Abdulaziz University,Artificial Intelligence,5,With Family,0,0,0,0,0.0,Phone,4500,3,Shopaholic
852,c6f4b6be-78ca-4e39-96b8-05ac132d962d,19,Male,Abha,King Khalid University,Law,1,Shared Apartment,990,0,0,990,898.67,Gaming PC,8000,6,Tech Enthusiast
853,4eb9e659-6d1e-4a2e-8b3e-d80b66d21cf8,21,Male,Madinah,King Saud University,Accounting,3,With Family,990,1200,400,2590,2015.24,Travel,4000,9,Coffee Lover
854,31c5272d-be49-4336-9860-7d0eac58a5d9,22,Female,Madinah,Princess Nourah University,Finance,3,Dorm,1000,0,0,1000,819.77,Travel,4000,12,Budget Student
855,39d151bb-e534-4a22-814f-6020fa8a97b2,24,Male,Makkah,Qassim University,Business Administration,3,With Family,1000,0,400,1400,1245.9,Car,25000,9,Disciplined
856,efc8584a-1c2d-44ed-919a-247975bf6dd3,19,Male,Qassim,King Abdulaziz University,Finance,5,With Family,1000,0,0,1000,862.75,Laptop,5000,3,Balanced
857,debb2073-33a0-479b-aa36-32219072bd61,24,Female,Abha,King Fahd University of Petroleum and Minerals,Law,1,With Family,990,0,400,1390,1142.03,Phone,4500,6,Coffee Lover
858,49c74541-0ed5-40f4-8356-880d086f5386,24,Female,Qassim,Imam Mohammad Ibn Saud Islamic University,Artificial Intelligence,3,Dorm,990,0,200,1190,1007.35,Emergency Fund,6000,12,Balanced
859,94de9841-a547-4524-9e3a-32a600480c11,19,Female,Tabuk,Prince Sattam bin Abdulaziz University,Nursing,4,Dorm,1500,1200,200,2900,2270.14,Car,25000,6,Overspender
860,4327aa8c-115e-4a17-9371-bf80dd2f2b29,20,Male,Abha,King Saud University,Software Engineering,3,Shared Apartment,1500,1800,400,3700,2879.68,Phone,4500,9,Coffee Lover
861,15aeec87-47d7-4daf-85ac-a516c2866469,22,Female,Jeddah,King Abdulaziz University,Cybersecurity,2,With Family,990,0,0,990,885.88,Phone,4500,6,Social Spender
862,230fd451-44fd-49af-98f7-dd4ca89b6d5a,19,Female,Tabuk,Imam Mohammad Ibn Saud Islamic University,Finance,4,Shared Apartment,1000,0,0,1000,891.24,Travel,4000,3,Balanced
863,345fc46b-8098-4717-b096-b1261def961b,22,Female,Tabuk,Umm Al-Qura University,Software Engineering,3,With Family,990,1800,0,2790,2505.66,Travel,4000,3,Balanced
864,d0d349eb-3e6d-4fe3-92b6-8a02eca34f24,18,Female,Jeddah,Imam Mohammad Ibn Saud Islamic University,Information Systems,4,With Family,1000,1200,0,2200,1742.94,Travel,4000,12,Disciplined
865,7803f37b-105c-4f9b-894d-651e9396f0ef,24,Female,Riyadh,Prince Sattam bin Abdulaziz University,Accounting,2,With Family,990,0,0,990,877.6,Travel,4000,3,Coffee Lover
866,77e953a4-785d-45ac-8a09-eb33db2ba8e9,24,Male,Dammam,King Fahd University of Petroleum and Minerals,Information Systems,5,With Family,0,800,0,800,709.81,Investment,10000,3,Coffee Lover
867,52ef103c-f74e-47e4-a152-2c5308a4bacf,24,Female,Jeddah,King Khalid University,Electrical Engineering,4,With Family,1500,0,200,1700,1540.54,Travel,4000,9,Budget Student
868,ebd8c73a-c61e-47a2-b83c-dbbecc3fdd55,24,Male,Dammam,King Saud University,Business Administration,5,With Family,1500,0,0,1500,1279.47,Emergency Fund,6000,12,Coffee Lover
869,1b220fb9-3a42-4f2a-abba-2e480abde6f0,23,Male,Abha,Prince Sattam bin Abdulaziz University,Accounting,3,Dorm,990,0,400,1390,1255.68,Emergency Fund,6000,3,Shopaholic
870,6a412dac-34a0-430d-a1c8-797cbd429b22,22,Male,Jeddah,King Fahd University of Petroleum and Minerals,Mechanical Engineering,1,With Family,990,0,0,990,820.95,Travel,4000,6,Disciplined
871,dfc9c217-d6d8-403e-812e-2ff64bbe24af,22,Female,Qassim,King Khalid University,Cybersecurity,5,Dorm,0,800,0,800,606.5,Emergency Fund,6000,9,Balanced
872,0d5623a0-41d4-4395-af85-b8ca1d1a7b09,24,Male,Abha,Prince Sattam bin Abdulaziz University,Accounting,4,With Family,990,1800,0,2790,2622.8,Laptop,5000,9,Social Spender
873,a6b6a85a-cc3e-4537-8fd6-de0f93745efa,21,Female,Madinah,King Khalid University,Medicine,5,Shared Apartment,1000,0,400,1400,1118.25,Laptop,5000,3,Balanced
874,4492d5f1-5772-4347-86d4-dd272c0d0758,20,Female,Riyadh,King Khalid University,Accounting,2,Dorm,990,1200,0,2190,1761.93,Gaming PC,8000,12,Balanced
875,fb42ceef-f1ea-4807-800f-996ab7ca3090,23,Male,Makkah,Imam Mohammad Ibn Saud Islamic University,Computer Science,3,With Family,1000,800,0,1800,1570.1,Emergency Fund,6000,12,Tech Enthusiast
876,c31f6264-012c-426d-9f15-d93174c288cb,18,Female,Abha,King Fahd University of Petroleum and Minerals,Business Administration,4,With Family,1000,0,0,1000,920.87,Car,25000,12,Balanced
877,0ff6cc10-2b6a-4abf-940f-c33edcdf4b28,19,Female,Abha,Princess Nourah University,Cybersecurity,5,With Family,1000,800,0,1800,1455.06,Laptop,5000,9,Coffee Lover
878,95002557-879a-48e5-933c-780cf07ea987,23,Female,Tabuk,King Saud University,Electrical Engineering,3,Dorm,990,0,0,990,839.67,Car,25000,6,Balanced
879,24a23ca8-e460-4cf6-b350-787027ec7767,19,Female,Makkah,Imam Mohammad Ibn Saud Islamic University,Software Engineering,5,With Family,1000,0,400,1400,1292.17,Laptop,5000,12,Shopaholic
880,a9435999-a712-41c7-9fe7-151970e6aa30,23,Female,Jeddah,King Fahd University of Petroleum and Minerals,Medicine,5,With Family,990,0,400,1390,1105.08,Travel,4000,12,Coffee Lover
881,af3d0b83-f856-437b-9b21-af6738c79010,20,Female,Madinah,King Saud University,Medicine,3,Shared Apartment,990,1200,0,2190,1929.91,Investment,10000,3,Balanced
882,673588b1-08da-4c42-bbbd-e6756d145a76,18,Male,Dammam,King Khalid University,Nursing,5,Alone,1000,1800,0,2800,2435.76,Gaming PC,8000,12,Overspender
883,146537ad-9478-4de1-a209-9dd01dcb60aa,19,Female,Riyadh,King Khalid University,Electrical Engineering,4,Dorm,990,0,0,990,913.46,Emergency Fund,6000,6,Coffee Lover
884,74ae41a0-09cc-4e8b-afe3-07e29c131cad,21,Female,Dammam,Prince Sattam bin Abdulaziz University,Software Engineering,1,With Family,1000,0,0,1000,842.24,Gaming PC,8000,6,Social Spender
885,3119b4a5-ba46-4a96-beef-040deef8c544,19,Female,Dammam,Imam Mohammad Ibn Saud Islamic University,Finance,1,With Family,990,0,0,990,748.9,Emergency Fund,6000,12,Impulsive
886,d1272320-c5ff-465d-aa1e-d7714e6fcfd9,22,Male,Riyadh,Taibah University,Finance,1,With Family,1500,1200,0,2700,2240.13,Emergency Fund,6000,3,Balanced
887,ae8b15bb-b6ff-40ee-a7a4-3bbb75d9495a,19,Male,Dammam,Prince Sattam bin Abdulaziz University,Electrical Engineering,5,Shared Apartment,1000,500,0,1500,1158.54,Emergency Fund,6000,6,Balanced
888,e7a57ad1-2485-4911-a631-ae9f8955cb31,21,Female,Jeddah,King Fahd University of Petroleum and Minerals,Law,1,With Family,1000,0,0,1000,891.82,Emergency Fund,6000,6,Social Spender
889,e99869f8-e875-452c-b40b-fb8bb950f8d1,22,Female,Riyadh,King Abdulaziz University,Information Systems,5,With Family,990,800,0,1790,1421.63,Emergency Fund,6000,9,Shopaholic
890,eed6c9e3-41d1-45f1-9918-447805bc0f88,22,Female,Qassim,Prince Sattam bin Abdulaziz University,Information Systems,2,With Family,1000,0,200,1200,970.16,Car,25000,12,Balanced
891,cf2895c2-9f75-42e8-9b83-dd1167cc9db1,18,Female,Abha,Umm Al-Qura University,Mechanical Engineering,5,With Family,990,1200,0,2190,1913.39,Phone,4500,6,Improving
892,d878edd8-3ba6-43ea-87e8-9271604fa056,23,Female,Qassim,King Abdulaziz University,Medicine,4,With Family,1000,500,0,1500,1394.14,Car,25000,3,Social Spender
893,f2bcbe22-d263-40d6-8681-bc8ab736d8f9,22,Male,Makkah,King Fahd University of Petroleum and Minerals,Finance,4,Dorm,0,0,0,0,0.0,Phone,4500,3,Budget Student
894,ee8624a7-5d69-473b-86a5-973df9ab7b7c,21,Female,Riyadh,Qassim University,Law,1,Alone,1000,1200,0,2200,1873.26,Phone,4500,9,Shopaholic
895,67b0d0c4-fff2-4528-8205-0570b7facb97,18,Female,Makkah,Imam Mohammad Ibn Saud Islamic University,Artificial Intelligence,2,Dorm,1000,800,400,2200,1936.36,Investment,10000,6,Balanced
896,875b94ce-251c-4bb3-837c-2a5fd7055571,22,Male,Makkah,Princess Nourah University,Information Systems,5,With Family,1000,0,700,1700,1345.63,Travel,4000,6,Tech Enthusiast
897,35bfabb1-267a-4e53-8826-6f10af0bb670,18,Female,Jeddah,Imam Mohammad Ibn Saud Islamic University,Finance,1,With Family,1000,500,0,1500,1267.81,Investment,10000,3,Shopaholic
898,b751c12d-3d42-45e7-98a8-80b8d516491e,24,Male,Qassim,Imam Mohammad Ibn Saud Islamic University,Nursing,5,Shared Apartment,990,500,0,1490,1413.19,Car,25000,9,Social Spender
899,18953177-bc19-446a-b79a-daa1a8d40732,25,Female,Madinah,Prince Sattam bin Abdulaziz University,Medicine,2,With Family,1000,500,0,1500,1328.35,Car,25000,9,Tech Enthusiast
900,9bf53269-5599-4643-b6bb-9523a1abd9d5,23,Female,Qassim,King Abdulaziz University,Information Systems,1,Shared Apartment,990,1200,0,2190,1937.26,Laptop,5000,3,Overspender
901,98da2756-9850-4447-9280-fefefd81558a,21,Male,Makkah,Imam Mohammad Ibn Saud Islamic University,Artificial Intelligence,5,With Family,990,800,0,1790,1616.88,Phone,4500,12,Disciplined
902,4dbd2a5f-e158-4abb-8fa1-f44618667080,23,Male,Makkah,Qassim University,Electrical Engineering,2,Shared Apartment,990,800,0,1790,1560.92,Phone,4500,6,Balanced
903,9442b3f2-9356-4969-ab33-16cfb432dc7a,22,Male,Madinah,Taibah University,Artificial Intelligence,3,With Family,1000,500,0,1500,1225.12,Emergency Fund,6000,9,Budget Student
904,b48e6115-03c8-4e75-a7b9-467af6ee8e6b,24,Male,Tabuk,King Saud University,Accounting,3,Dorm,990,0,0,990,770.21,Investment,10000,12,Budget Student
905,d0184b5a-fce9-4e31-9b00-2a6184adf491,22,Female,Abha,King Saud University,Business Administration,4,Shared Apartment,0,800,0,800,652.11,Gaming PC,8000,6,Budget Student
906,317889f7-4482-4801-8f6b-ef0bdcbb3b60,21,Male,Abha,Taibah University,Mechanical Engineering,5,With Family,1000,0,0,1000,944.23,Laptop,5000,3,Budget Student
907,a7fae0cb-6285-4d7e-8204-852633047ee4,22,Female,Riyadh,Princess Nourah University,Computer Science,3,With Family,990,1800,200,2990,2463.43,Phone,4500,9,Disciplined
908,62cd4256-6a18-4c32-a461-6f169ce8ef39,24,Male,Dammam,King Khalid University,Artificial Intelligence,5,With Family,990,800,0,1790,1374.01,Investment,10000,6,Balanced
909,227aa7bf-f2a9-4aa7-9071-e3148654cfa7,22,Male,Dammam,Princess Nourah University,Electrical Engineering,3,Alone,1000,800,0,1800,1480.04,Investment,10000,12,Social Spender
910,581d7ea7-1575-4c51-8311-e74841e35681,23,Male,Madinah,Prince Sattam bin Abdulaziz University,Nursing,1,With Family,990,0,0,990,869.66,Travel,4000,12,Balanced
911,4cd23fc1-731b-403d-8840-de6f3c94c045,23,Male,Tabuk,King Saud University,Medicine,3,Shared Apartment,990,0,0,990,839.92,Car,25000,9,Tech Enthusiast
912,f93240e3-e197-4962-9fee-a3699071486a,19,Male,Jeddah,King Khalid University,Finance,5,Dorm,1000,500,700,2200,1733.99,Investment,10000,3,Budget Student
913,ebdf8f67-c87b-457e-b0a3-2e1112b9638b,20,Female,Jeddah,King Abdulaziz University,Law,5,With Family,990,0,0,990,846.99,Gaming PC,8000,12,Impulsive
914,45a383ad-f54e-48c4-8564-893f3764953c,18,Male,Makkah,King Fahd University of Petroleum and Minerals,Accounting,2,With Family,990,0,0,990,786.63,Emergency Fund,6000,9,Shopaholic
915,0e6c33bf-5ab1-449d-bf67-206a697d6a15,20,Male,Dammam,Imam Mohammad Ibn Saud Islamic University,Artificial Intelligence,2,With Family,1000,0,200,1200,1028.02,Travel,4000,3,Budget Student
916,6a34272f-e62e-436c-9aff-a1e43083d02c,21,Male,Makkah,Prince Sattam bin Abdulaziz University,Information Systems,4,Alone,1000,1800,0,2800,2230.47,Travel,4000,6,Budget Student
917,91a1579b-d2d8-4f1c-89a5-a6e95c1a8d38,24,Male,Qassim,Imam Mohammad Ibn Saud Islamic University,Accounting,1,With Family,0,1200,400,1600,1327.74,Laptop,5000,6,Budget Student
918,9998401c-41bc-4740-bbe7-e470a4ed8ef3,19,Male,Makkah,Princess Nourah University,Finance,5,With Family,1000,0,700,1700,1613.42,Car,25000,12,Balanced
919,19fb9001-c61e-497c-9841-f60976b0acb1,19,Female,Riyadh,King Saud University,Accounting,4,With Family,1500,1200,0,2700,2488.05,Travel,4000,9,Balanced
920,2a7aafaf-b3a4-4d68-9016-d6e2796f08e6,22,Male,Jeddah,Qassim University,Finance,1,Alone,990,0,400,1390,1118.87,Gaming PC,8000,9,Disciplined
921,228bcdaf-cc72-47f4-b9c6-7ea14d1e6f09,20,Male,Qassim,King Saud University,Computer Science,5,Shared Apartment,1000,0,0,1000,923.27,Car,25000,9,Balanced
922,de7a96ce-5cea-4988-b7c8-8c1911a98d3f,20,Male,Abha,Princess Nourah University,Electrical Engineering,2,With Family,990,0,0,990,782.91,Car,25000,12,Tech Enthusiast
923,ad96b85c-ac44-4fb6-a57a-8c1afa335ddd,18,Female,Riyadh,Taibah University,Computer Science,2,Alone,1500,0,0,1500,1138.95,Investment,10000,12,Budget Student
924,46980996-ff71-4bbb-8eea-e5eb9b37b804,21,Male,Tabuk,Princess Nourah University,Software Engineering,4,With Family,1000,0,0,1000,833.02,Travel,4000,12,Disciplined
925,bf199fbd-5cdc-478b-8f3c-ab9a8545f509,22,Male,Abha,Umm Al-Qura University,Business Administration,5,Dorm,1000,800,0,1800,1384.7,Emergency Fund,6000,12,Social Spender
926,04b27bb6-0f36-4549-a117-0f780aa333ee,20,Male,Jeddah,Princess Nourah University,Mechanical Engineering,4,With Family,1500,0,0,1500,1309.5,Phone,4500,6,Balanced
927,ee01f2b1-f7a0-458a-ac83-b0b73153aaa8,22,Male,Abha,Qassim University,Business Administration,2,Dorm,990,800,0,1790,1677.1,Emergency Fund,6000,3,Social Spender
928,eea324ee-e55b-42b6-809c-d22fd891d9c2,18,Male,Riyadh,Imam Mohammad Ibn Saud Islamic University,Information Systems,4,With Family,1000,800,200,2000,1728.83,Phone,4500,12,Budget Student
929,5f3e864b-d59b-475b-8570-edbe1a0c1a41,25,Male,Qassim,King Khalid University,Artificial Intelligence,5,With Family,990,1200,700,2890,2598.09,Emergency Fund,6000,9,Balanced
930,f160e0e3-152e-4de0-846d-9d0230bbb15b,25,Male,Abha,Umm Al-Qura University,Artificial Intelligence,1,Shared Apartment,1500,0,200,1700,1420.01,Emergency Fund,6000,3,Improving
931,3a5dd849-29df-4f82-b4b3-1c5bc247ce2a,19,Female,Dammam,King Fahd University of Petroleum and Minerals,Artificial Intelligence,4,With Family,990,0,0,990,937.39,Laptop,5000,3,Improving
932,2f06700a-003f-43de-82c4-77063a1c35ef,21,Male,Makkah,King Saud University,Cybersecurity,3,With Family,1500,0,200,1700,1540.18,Car,25000,3,Budget Student
933,4da347e8-5007-452c-b026-722983ff8abd,20,Female,Dammam,Princess Nourah University,Law,2,Dorm,990,0,400,1390,1281.29,Car,25000,6,Budget Student
934,48f0782c-fff0-4bfd-9f20-3f8bf117e175,24,Male,Madinah,King Saud University,Accounting,3,With Family,1000,0,400,1400,1196.09,Car,25000,12,Impulsive
935,b0577347-87d5-4101-940b-1822501b8908,19,Female,Madinah,Imam Mohammad Ibn Saud Islamic University,Mechanical Engineering,5,Dorm,990,0,400,1390,1061.07,Laptop,5000,12,Disciplined
936,9eee097a-5d16-4ed0-9e52-51fdefd6cb22,24,Male,Tabuk,Qassim University,Nursing,2,With Family,990,0,700,1690,1385.94,Phone,4500,6,Improving
937,04c10fb3-3599-421f-b0c9-26fd6f8897e8,20,Male,Qassim,King Abdulaziz University,Law,3,Shared Apartment,990,1200,0,2190,1647.22,Gaming PC,8000,3,Shopaholic
938,1d28d57b-8b64-4eac-be74-d4fac325e1de,25,Female,Jeddah,Umm Al-Qura University,Mechanical Engineering,5,With Family,1000,1200,0,2200,1680.98,Phone,4500,9,Impulsive
939,7b7f02b3-4ae3-4c1e-996d-8c1f94c14f55,19,Female,Tabuk,King Khalid University,Information Systems,4,Shared Apartment,1500,0,200,1700,1351.38,Travel,4000,3,Disciplined
940,c13802ca-4328-4024-bc3a-b612c28f82c2,25,Female,Tabuk,King Saud University,Law,1,Shared Apartment,1000,1800,400,3200,2579.33,Phone,4500,9,Impulsive
941,782d73d3-8b53-483b-9a4e-a58ef07c7eea,23,Male,Riyadh,Princess Nourah University,Mechanical Engineering,4,With Family,1000,0,0,1000,849.0,Travel,4000,12,Social Spender
942,03935e52-b5c1-4b09-a264-85ef2eaf42b3,24,Female,Riyadh,King Khalid University,Software Engineering,5,Shared Apartment,990,1200,200,2390,2099.7,Car,25000,3,Shopaholic
943,f3d425d5-5171-4e88-b441-f85473f906c4,24,Female,Riyadh,King Fahd University of Petroleum and Minerals,Law,4,Shared Apartment,990,1200,0,2190,1893.63,Gaming PC,8000,3,Overspender
944,5b325cc6-d799-476e-be08-111f99003d32,18,Male,Dammam,King Saud University,Law,3,With Family,1000,800,200,2000,1868.27,Gaming PC,8000,3,Social Spender
945,6f559e65-f3f6-43f7-806c-137ce8c3b4bb,23,Male,Madinah,Taibah University,Electrical Engineering,1,With Family,1000,0,200,1200,1067.79,Travel,4000,9,Budget Student
946,55c40989-cf66-488b-8420-8bbc41a6c824,23,Female,Abha,King Abdulaziz University,Finance,1,With Family,990,500,400,1890,1650.5,Gaming PC,8000,6,Balanced
947,434ba2d7-c49f-4e4e-b692-c86b3f381f99,23,Female,Dammam,Qassim University,Cybersecurity,3,Shared Apartment,990,1800,0,2790,2363.38,Emergency Fund,6000,9,Budget Student
948,387fb2ff-2bb6-4d17-ab36-c39a02fa15e3,18,Male,Makkah,King Khalid University,Artificial Intelligence,5,Dorm,1500,1200,700,3400,2931.13,Travel,4000,6,Balanced
949,682d9e38-6c2b-4fc3-a032-c53524ffade2,24,Female,Dammam,King Fahd University of Petroleum and Minerals,Medicine,3,With Family,1000,0,0,1000,934.25,Car,25000,3,Budget Student
950,c608ce69-e60a-46f0-b930-29bc9bd31ffb,19,Female,Makkah,Taibah University,Computer Science,2,With Family,1000,1200,200,2400,2120.41,Car,25000,9,Disciplined
951,60c5f911-1964-4e35-8fb4-cf5582055ff9,25,Male,Dammam,King Saud University,Artificial Intelligence,2,Alone,990,800,0,1790,1649.5,Phone,4500,12,Budget Student
952,602765a7-d12e-4499-aaba-3f9a6f056c89,20,Female,Tabuk,Prince Sattam bin Abdulaziz University,Mechanical Engineering,3,Shared Apartment,990,500,0,1490,1196.04,Emergency Fund,6000,9,Balanced
953,b28f4343-8401-426a-a060-b08b96adda76,20,Female,Makkah,Umm Al-Qura University,Nursing,2,With Family,1500,0,0,1500,1400.24,Laptop,5000,12,Shopaholic
954,307a4f78-8419-4e3c-8035-4e570a1502da,21,Female,Madinah,King Khalid University,Computer Science,4,Dorm,990,1200,0,2190,1860.24,Travel,4000,12,Disciplined
955,b4de48c4-14b9-4dd8-8d5f-5fb344ee7309,18,Female,Qassim,King Abdulaziz University,Software Engineering,3,With Family,1500,0,0,1500,1340.66,Gaming PC,8000,9,Overspender
956,90b62267-5570-40ec-a413-56de913b8f76,20,Female,Makkah,Taibah University,Artificial Intelligence,5,Dorm,1000,800,0,1800,1459.68,Gaming PC,8000,6,Shopaholic
957,ac29c2ea-813f-4b73-9f6a-275f3d4fdede,23,Male,Riyadh,King Fahd University of Petroleum and Minerals,Nursing,1,Shared Apartment,1500,1800,0,3300,2521.87,Car,25000,3,Shopaholic
958,67e88a78-e83e-4912-a748-fb3ec601694a,20,Male,Riyadh,Taibah University,Mechanical Engineering,1,With Family,1000,800,0,1800,1383.9,Car,25000,12,Shopaholic
959,dfa58176-b39f-46c2-8098-1a0266d76587,25,Male,Abha,King Abdulaziz University,Software Engineering,3,With Family,1500,0,0,1500,1337.18,Gaming PC,8000,9,Coffee Lover
960,97270978-e2c9-4d44-ba16-7c45ab11f400,19,Female,Qassim,Princess Nourah University,Medicine,3,With Family,990,0,0,990,862.52,Gaming PC,8000,3,Social Spender
961,3105195d-c636-4942-bda4-a54209880f38,18,Female,Tabuk,Prince Sattam bin Abdulaziz University,Computer Science,5,Dorm,0,0,700,700,645.31,Laptop,5000,6,Balanced
962,38b21dea-b266-4bdf-a0c9-4bdacc37f87c,19,Male,Abha,King Khalid University,Information Systems,4,Dorm,1000,0,0,1000,925.93,Travel,4000,6,Shopaholic
963,f81c1883-e11d-4ed3-84c4-d649caf77288,19,Female,Madinah,Princess Nourah University,Business Administration,2,Dorm,1000,0,0,1000,783.48,Car,25000,3,Coffee Lover
964,64507099-e75d-44d6-b30c-10c550b95fb8,24,Female,Jeddah,Umm Al-Qura University,Software Engineering,3,With Family,1000,2500,400,3900,3035.28,Emergency Fund,6000,12,Balanced
965,905b6a6e-0595-47bb-8572-048f002f4cc9,19,Male,Abha,Umm Al-Qura University,Nursing,5,Dorm,990,0,400,1390,1187.53,Emergency Fund,6000,6,Balanced
966,750e56e4-e1c1-48c2-9654-3548d84a3918,24,Female,Tabuk,Qassim University,Software Engineering,4,With Family,990,1200,0,2190,1688.19,Gaming PC,8000,12,Tech Enthusiast
967,922396b7-1595-48fc-9c9d-0a1f221ec530,18,Male,Makkah,Princess Nourah University,Artificial Intelligence,5,Dorm,990,2500,200,3690,3189.1,Investment,10000,6,Tech Enthusiast
968,b1b28a0b-baf3-47df-b7ea-397ab609957f,24,Male,Abha,Umm Al-Qura University,Computer Science,4,Dorm,1000,500,0,1500,1282.2,Travel,4000,6,Shopaholic
969,89fa0d23-4c32-4a91-ab0f-5ff11c47fec7,20,Male,Abha,Princess Nourah University,Mechanical Engineering,2,With Family,1000,0,0,1000,864.23,Emergency Fund,6000,3,Disciplined
970,3f4edb9b-b9c0-41b3-984f-bba10c6e75b3,18,Male,Abha,King Abdulaziz University,Accounting,2,With Family,990,1800,0,2790,2559.99,Travel,4000,3,Balanced
971,dff43290-9007-4456-9b9d-764722598b60,22,Male,Madinah,Qassim University,Mechanical Engineering,1,With Family,1000,800,0,1800,1498.91,Emergency Fund,6000,9,Budget Student
972,42390632-f93e-4cec-a9c4-f111fe71963a,24,Male,Qassim,King Abdulaziz University,Law,2,With Family,990,1200,0,2190,1692.6,Laptop,5000,6,Impulsive
973,dcd8f206-825e-4f8f-99fa-5c3f74e6b972,22,Female,Madinah,Umm Al-Qura University,Artificial Intelligence,3,Shared Apartment,990,0,0,990,794.28,Gaming PC,8000,3,Balanced
